,id,category,text,keyword_count,sentiment,risk_score,location,clean_text,keyword_count_clean
0,1,storage_issue,pharmacies in giza reported issues with antidepressants. they cited humidity and contamination. ,2,-0.5,4.5,giza,pharmacies in giza reported issues with antidepressants they cited humidity and contamination ,1
4,5,manufacturing_issue,Pharmacies in Giza reported issues with asthma inhalers. They cited raw material and line. ,2,-0.5,5.1,Giza,pharmacies in giza reported issues with asthma inhalers they cited raw material and line ,1
6,7,forecasting_error,Pharmacies in coastal governorates reported issues with antidepressants. They cited assumption and scenario. Additional concerns include miscalculated. ,3,-0.5,4.05,coastal,pharmacies in coastal governorates reported issues with antidepressants they cited assumption and scenario additional concerns include miscalculated ,1
7,8,neutral_report,Pharmaci3s in Upp3r Egypt r3port3d stabl3 availability of canc3r m3dicin3s this w33k.??,0,0.0,0.0,Upp,pharmacis in uppr egypt rportd stabl availability of cancr mdicins this wk,0
8,9,neutral_report,Supply levels for insulin in co@st@l governor@tes rem@ined norm@l.,0,0.0,0.0,in,supply levels for insulin in costl governortes remined norml,0
9,10,labor_shortage,Pharmacies in Giza reported issues with antihistamines. They cited overtime and resignations. ,2,-0.5,3.3,Giza,pharmacies in giza reported issues with antihistamines they cited overtime and resignations ,1
14,15,demand_spike,Ph@rm@cies in new urb@n communities reported issues with @sthm@ inh@lers. They cited unusu@l @nd pe@k. Addition@l concerns include rush.,1,0.0,1.3,new,phrmcies in new urbn communities reported issues with sthm inhlers they cited unusul nd pek additionl concerns include rush,1
15,16,demand_spike,Ph@rm@cies in C@n@l cities reported issues with insulin. They cited rush @nd p@nic buying. Addition@l concerns include p@nic buying. ,1,0.0,1.3,C,phrmcies in cnl cities reported issues with insulin they cited rush nd pnic buying additionl concerns include pnic buying ,1
16,17,seasonal_variation,Ph@rm@cies in Giz@ reported issues with  ...IV fluids. They cited winter @nd se@son.,2,-0.5,2.1,Giz,phrmcies in giz reported issues with  iv fluids they cited winter nd seson,1
17,18,regulation_issue,A weekly report from Upper Egypt connected insulin instability to new rules and approval.,2,-0.5,4.8,instability,a weekly report from upper egypt connected insulin instability to new rules and approval,0
