id,category,text,keyword_count,sentiment,risk_score,clean_text
1,storage_issue,pharmacies in giza reported issues with antidepressants. they cited humidity and contamination. ,0,0.0,1,pharmacies giza reported issues antidepressants cited humidity contamination
2,storage_issue,a weekly report from delta region connected antidepressants instability to power cut and storage.,1,-0.2732,6,weekly report delta region connected antidepressants instability power cut storage
3,import_delay,"In Giza, anticoagulants availability has dropped. Reports mention queue and complications from import.",2,0.0,10,giza anticoagulants availability dropped reports mention queue complications import
4,manufacturing_issue,"In coastal governorates, anticoagulants availability has dropped. Reports mention breakdown and complications from batch. Additional concerns include capacity.",1,0.0,5,coastal governorates anticoagulants availability dropped reports mention breakdown complications batch additional concerns include capacity
5,manufacturing_issue,Pharmacies in Giza reported issues with asthma inhalers. They cited raw material and line. ,0,0.0,1,pharmacies giza reported issues asthma inhalers cited raw material line
6,seasonal_variation,A weekly report from Upper Egypt connected IV fluids inst@bility to virus @nd se@son@l. Addition@l concerns include se@son@l.,0,0.0,1,weekly report upper egypt connected iv fluids inst bility virus nd se son l addition l concerns include se son l
7,forecasting_error,Pharmacies in coastal governorates reported issues with antidepressants. They cited assumption and scenario. Additional concerns include miscalculated. ,0,0.0,1,pharmacies coastal governorates reported issues antidepressants cited assumption scenario additional concerns include miscalculated
8,neutral_report,Pharmaci3s in Upp3r Egypt r3port3d stabl3 availability of canc3r m3dicin3s this w33k.??,1,0.0,5,pharmaci upp r egypt r port stabl availability canc r dicin w k
9,neutral_report,Supply levels for insulin in co@st@l governor@tes rem@ined norm@l.,1,0.0,5,supply levels insulin co st l governor tes rem ined norm l
10,labor_shortage,Pharmacies in Giza reported issues with antihistamines. They cited overtime and resignations. ,0,-0.296,1,pharmacies giza reported issues antihistamines cited overtime resignations
11,storage_issue,A weekly report from coastal governorates connected antiviral tablets instability to temperature and storage. Additional concerns include mold.,1,0.0,5,weekly report coastal governorates connected antiviral tablets instability temperature storage additional concerns include mold
12,quality_control_issue,A  w33kly  r3port  from  Canal  citi3s  conn3ct3d  antiviral  tabl3ts  instability  to  lab  and  complaint.,1,-0.296,6,w kly r port canal citi conn ct antiviral tabl ts instability lab complaint
13,neutral_report,ROUTINE UPDATES FROM COASTAL GOVERNORATES S ...HOWED NO MAJOR ISSUES FOR ANTIVIRAL TABLETS.,0,0.0,1,routine updates coastal governorates howed major issues antiviral tablets
14,regulation_issue,A weekly report from coastal governorates connected painkillers instability to regulation and license.,1,0.0,5,weekly report coastal governorates connected painkillers instability regulation license
15,demand_spike,Ph@rm@cies in new urb@n communities reported issues with @sthm@ inh@lers. They cited unusu@l @nd pe@k. Addition@l concerns include rush.,0,0.0,1,ph rm cies new urb n communities reported issues sthm inh lers cited unusu l nd pe k addition l concerns include rush
16,demand_spike,Ph@rm@cies in C@n@l cities reported issues with insulin. They cited rush @nd p@nic buying. Addition@l concerns include p@nic buying. ,0,0.0,1,ph rm cies c n l cities reported issues insulin cited rush nd p nic buying addition l concerns include p nic buying
17,seasonal_variation,Ph@rm@cies in Giz@ reported issues with  ...IV fluids. They cited winter @nd se@son.,0,0.0,1,ph rm cies giz reported issues iv fluids cited winter nd se son
18,regulation_issue,A weekly report from Upper Egypt connected insulin instability to new rules and approval.,1,0.4767,3,weekly report upper egypt connected insulin instability new rules approval
19,neutral_report,Routine  updates  from  new  urban  communities  showed  no  major  issues  for  cancer  medicines.,0,-0.6597,3,routine updates new urban communities showed major issues cancer medicines
20,currency_issue,Pharmacies in Alexandria reported issues with oral rehydration salts. They cited foreign and reserve.,0,0.0,1,pharmacies alexandria reported issues oral rehydration salts cited foreign reserve
21,distribution_center_issue,"IN CANAL CITIES, ANTIDEPRESSANTS AVAILABILITY HAS DROPPED. REPORTS MENTION UNLOADING AND COMPLICATIONS FROM QUEUE.",1,0.0,5,canal cities antidepressants availability dropped reports mention unloading complications queue
22,neutral_report,Supply levels for blood pressure dr ...ugs in Upper Egypt remained normal.,1,-0.296,6,supply levels blood pressure dr ugs upper egypt remained normal
23,contract_dispute,A weekly report from new urban communities connected asthma inhalers instability to penalty and terms. Additional concerns include contract.,1,-0.4588,7,weekly report new urban communities connected asthma inhalers instability penalty terms additional concerns include contract
24,regulation_issue,PHARMACIES IN CAIRO REPORTED ISSUES WITH CHILDREN'S SYRUP. THEY CITED WARNING AND NEW RULES. ADDITIONAL CONCERNS INCLUDE BANNED. ,0,-0.6597,3,pharmacies cairo reported issues children syrup cited warning new rules additional concerns include banned
25,manufacturing_issue,"In Cairo, childr3n's syrup availability has dropp3d. R3ports m3ntion int3rruption and complications from d3f3ct. Additional conc3rns includ3 d3f3ct.",1,0.0,5,cairo childr n syrup availability dropp r ports ntion int rruption complications f ct additional conc rns includ f ct
