record_id,date,pharmacy_id,medicine_id,current_stock_level,avg_weekly_sales,reorder_quantity,lead_time_days,supplier_delay_frequency,price_change_rate,storage_capacity,pharmacy_location_code,medicine_category,target_stockout
1,2024-03-05,82,46,41,34,45,13,0.8,-0.0,359,9,Painkiller,0
2,2024-11-13,42,7,192,13,80,6,0.65,0.13,322,13,Cardiology,0
3,2024-11-02,68,26,79,17,62,1,0.55,0.08,242,4,Cardiology,0
4,2024-05-06,68,13,180,14,30,14,0.26,0.01,296,8,Antibiotic,0
5,2024-03-09,44,28,171,44,71,13,0.58,0.1,101,2,Vitamins,1
6,2024-01-12,52,1,10,37,86,5,0.39,0.04,361,4,Antibiotic,1
7,2024-07-26,22,35,148,33,48,8,0.31,0.0,376,16,Painkiller,0
8,2024-03-30,65,24,113,32,32,5,0.09,-0.05,468,2,Diabetes,0
9,2024-10-22,77,19,77,44,40,8,0.16,0.19,350,1,Cardiology,1
10,2024-03-10,99,9,83,59,33,5,0.98,0.09,333,16,Vitamins,0
11,2024-11-01,33,5,81,19,51,8,0.36,-0.07,373,5,Painkiller,0
12,2024-05-16,48,50,121,10,64,2,0.09,0.09,383,19,Painkiller,0
13,2024-05-17,99,8,188,57,92,9,0.16,-0.03,449,15,Vitamins,1
14,2024-11-01,71,32,153,60,95,7,0.42,-0.09,238,17,Painkiller,0
15,2024-09-15,20,23,159,15,99,7,0.45,-0.01,189,6,Antibiotic,0
16,2024-04-23,89,39,127,46,77,10,0.21,0.16,338,6,Vitamins,1
17,2024-10-10,18,14,175,46,56,5,0.05,-0.07,277,2,Diabetes,0
18,2024-10-03,84,21,128,12,71,3,0.59,0.01,209,16,Antibiotic,0
19,2024-08-10,69,8,198,40,61,4,0.92,-0.02,160,11,Painkiller,0
20,2024-04-05,69,19,24,34,52,7,0.13,0.1,500,9,Cardiology,0
21,2024-08-06,52,32,84,34,23,5,0.15,0.14,476,9,Cardiology,0
22,2024-01-21,83,3,40,11,24,6,0.71,0.02,187,14,Diabetes,0
23,2024-01-16,91,32,120,40,67,2,0.61,0.01,291,12,Antibiotic,0
24,2024-06-13,100,5,50,20,73,11,0.27,0.19,168,18,Painkiller,0
25,2024-02-28,30,30,59,43,88,7,0.38,-0.07,297,9,Antibiotic,0
26,2024-09-25,36,39,64,59,80,2,0.09,0.19,136,10,Diabetes,0
27,2024-08-05,48,10,3,36,36,9,0.49,0.01,246,11,Diabetes,1
28,2024-07-02,89,10,99,5,59,15,0.89,0.05,453,5,Vitamins,0
29,2024-10-12,88,45,194,20,53,9,0.9,-0.05,497,4,Vitamins,0
30,2024-07-22,82,44,75,52,87,7,0.8,-0.1,348,5,Antibiotic,0
31,2024-10-31,95,29,141,26,75,9,0.58,0.14,412,2,Cardiology,0
32,2024-04-03,1,36,166,34,97,11,0.18,0.08,374,10,Painkiller,0
33,2024-04-16,23,32,2,56,44,2,0.22,0.03,121,9,Antibiotic,1
34,2024-05-16,64,13,46,53,40,11,0.0,-0.02,310,18,Vitamins,1
35,2024-01-06,41,37,121,42,44,11,0.22,-0.01,154,20,Cardiology,1
36,2024-05-30,40,44,192,12,75,1,0.97,0.1,293,20,Antibiotic,0
37,2024-12-26,75,4,108,43,65,8,0.05,0.14,270,15,Vitamins,1
38,2024-03-24,37,27,100,56,60,13,0.96,0.18,390,1,Diabetes,1
39,2024-06-05,88,34,159,29,27,9,0.35,0.12,291,10,Cardiology,0
40,2024-04-18,90,10,6,32,51,8,0.3,0.05,229,12,Painkiller,1
41,2024-07-19,6,2,114,37,64,6,0.85,0.1,113,2,Diabetes,0
42,2024-11-28,81,22,104,35,34,12,0.57,-0.07,183,9,Painkiller,0
43,2024-08-29,19,40,20,8,61,11,0.53,0.02,196,19,Antibiotic,0
44,2024-07-04,9,41,29,50,56,1,0.82,-0.09,126,16,Cardiology,0
45,2024-06-24,32,47,193,28,86,4,0.86,-0.07,360,20,Vitamins,0
46,2024-08-31,77,3,113,15,96,14,0.97,0.13,469,4,Diabetes,0
47,2024-10-17,37,22,193,8,94,3,0.68,0.13,144,8,Diabetes,0
48,2024-12-21,100,28,137,20,36,10,0.34,0.04,188,16,Vitamins,0
49,2024-03-28,88,40,60,42,67,4,0.1,-0.01,434,2,Antibiotic,0
50,2024-06-12,44,12,164,46,90,6,0.67,0.07,249,11,Vitamins,0
51,2024-08-04,70,5,159,58,50,15,0.82,-0.1,284,11,Antibiotic,1
52,2024-05-22,59,42,75,17,79,9,0.3,0.17,369,12,Diabetes,0
53,2024-09-12,24,32,103,16,90,14,0.21,-0.05,233,8,Vitamins,0
54,2024-01-16,39,18,32,12,50,2,0.81,0.16,275,20,Antibiotic,0
55,2024-03-29,78,49,83,19,20,15,0.49,0.15,487,17,Antibiotic,0
56,2024-08-12,60,31,8,8,60,13,0.96,0.15,266,7,Painkiller,1
57,2024-09-19,15,50,24,49,65,8,0.73,0.09,442,1,Antibiotic,1
58,2024-11-23,35,29,24,19,80,8,0.15,0.06,228,6,Cardiology,0
59,2024-01-13,8,25,190,52,70,8,0.69,0.14,135,9,Cardiology,1
60,2024-01-11,53,12,84,15,79,10,0.31,0.02,163,6,Painkiller,0
61,2024-07-19,16,14,188,14,91,13,0.23,-0.09,204,12,Antibiotic,0
62,2024-04-01,1,22,81,47,92,2,0.11,0.17,299,16,Antibiotic,0
63,2024-06-06,13,2,68,45,72,3,0.86,-0.05,232,15,Cardiology,0
64,2024-12-19,28,47,51,30,75,1,0.18,0.13,253,7,Painkiller,0
65,2024-08-14,92,21,182,55,87,4,0.41,-0.05,326,6,Antibiotic,0
66,2024-01-27,12,41,37,23,59,12,0.44,-0.06,277,19,Antibiotic,0
67,2024-12-30,17,25,28,19,58,2,0.98,0.15,195,19,Cardiology,0
68,2024-11-02,39,3,185,51,56,8,0.68,0.07,355,20,Vitamins,1
69,2024-04-02,1,24,60,19,75,6,0.56,-0.06,211,10,Cardiology,0
70,2024-02-11,8,50,77,7,92,13,0.05,-0.02,471,14,Antibiotic,0
