record_id,date,pharmacy_id,medicine_id,medicine_category,pharmacy_location_code,supplier_count,current_stock_level,avg_weekly_sales,reorder_quantity,lead_time_days,supplier_delay_frequency,price_change_rate,storage_capacity,previous_shortage_count,dos_per_patient,category_shortage_rate,stock_to_sales_ratio,demand_volatility,seasonal_demand_factor,num_patients,target_stockout
1,2024-09-06,89,11,Oncology,10,3,51,14,47,9,0.4,0.02,265,0,1.59,0.0,3.64,0.64,1.0,16,1
2,2024-09-23,98,12,Cardiology,4,1,119,39,100,2,0.79,0.2,265,0,0.93,0.0,3.05,0.23,1.0,23,1
3,2024-10-07,63,19,Diabetes,12,3,80,44,100,21,0.66,-0.03,468,0,0.49,0.0,1.82,0.37,1.0,26,1
4,2024-01-21,58,25,Oncology,12,1,78,38,100,14,0.8,0.05,304,0,0.6,0.0,2.05,0.63,1.0,24,1
5,2024-04-29,33,3,Cardiology,11,1,83,18,42,8,0.95,0.11,242,0,1.29,0.0,4.61,0.87,1.0,25,1
6,2024-08-14,82,6,Antibiotic,4,3,128,27,76,12,0.18,0.04,428,0,1.58,0.0,4.74,0.28,1.0,21,1
7,2024-07-30,89,25,Painkiller,4,4,184,52,100,6,0.0,0.1,359,0,1.77,0.0,3.54,0.2,1.2,14,1
8,2024-05-31,53,26,Antibiotic,10,4,53,46,100,3,0.0,0.12,162,0,0.3,0.0,1.15,0.29,1.0,27,1
9,2024-06-04,90,34,Diabetes,3,3,128,21,64,9,0.25,-0.07,252,0,2.51,0.0,6.1,0.46,1.0,17,1
10,2024-06-26,54,48,Oncology,8,2,133,21,65,15,0.57,0.13,366,0,3.69,0.0,6.33,0.63,1.0,12,1
11,2024-06-29,61,20,Painkiller,15,3,227,57,100,7,0.52,-0.07,395,0,1.03,0.0,3.98,0.79,1.2,27,0
12,2024-10-03,9,27,Painkiller,14,3,138,60,100,35,0.42,-0.04,285,0,2.68,0.0,2.3,0.61,1.0,6,0
13,2024-04-19,16,39,Painkiller,11,1,142,11,31,10,0.87,0.01,327,0,5.32,0.0,12.91,0.14,1.0,17,1
14,2024-10-09,40,10,Cardiology,6,3,71,36,86,3,0.33,-0.08,450,0,0.49,0.0,1.97,0.52,1.0,28,1
15,2024-07-24,22,15,Painkiller,3,4,131,43,100,6,0.49,0.05,269,0,1.52,0.1,3.05,0.45,1.2,14,1
16,2024-11-12,89,4,Antibiotic,16,3,102,65,100,24,0.38,0.07,498,0,0.52,0.0,1.57,0.16,1.2,21,1
17,2024-04-21,9,20,Painkiller,18,2,30,45,100,51,0.63,0.12,452,0,0.16,0.1,0.67,0.25,1.0,29,1
18,2024-11-14,77,46,Painkiller,13,4,96,54,100,14,0.56,0.04,155,0,0.96,0.0,1.78,0.89,1.0,13,1
19,2024-01-22,86,32,Antibiotic,20,2,86,60,100,15,1.0,0.04,117,0,0.4,0.0,1.43,0.78,1.4,25,1
20,2024-03-25,60,39,Painkiller,8,2,125,57,100,2,0.55,-0.02,340,0,0.73,0.0,2.19,0.66,1.0,21,0
21,2024-12-12,4,35,Cardiology,9,3,64,13,38,65,0.36,0.18,188,0,3.13,0.0,4.92,0.78,1.0,11,1
22,2024-02-06,87,26,Antibiotic,11,4,113,42,100,15,0.01,0.12,425,0,0.82,0.0,2.69,0.24,1.4,23,1
23,2024-04-09,47,4,Oncology,4,2,155,38,100,74,0.54,0.06,120,0,2.6,0.0,4.08,0.34,1.0,11,1
24,2024-10-02,53,25,Cardiology,5,2,34,5,20,29,0.0,0.01,375,0,1.7,0.1,6.8,0.59,1.0,28,1
25,2024-11-11,37,18,Cardiology,4,2,178,51,100,24,0.55,0.16,413,0,1.16,0.0,3.49,0.5,1.0,21,1
26,2024-03-28,93,14,Antibiotic,4,1,98,30,93,79,0.57,0.05,180,0,22.87,0.0,3.27,0.62,1.2,1,1
27,2024-05-16,12,20,Oncology,3,1,55,10,24,10,0.79,0.05,216,0,4.81,0.0,5.5,0.79,1.0,8,1
28,2024-07-31,29,5,Oncology,10,2,48,47,100,15,0.75,0.01,195,0,0.4,0.0,1.02,0.36,1.0,18,1
29,2024-05-15,51,13,Oncology,10,1,143,31,100,24,0.64,0.01,235,0,3.23,0.1,4.61,0.55,1.0,10,1
30,2024-03-20,60,39,Oncology,3,1,120,28,81,15,0.88,0.07,278,0,2.0,0.0,4.29,0.63,1.0,15,1
31,2024-06-14,90,12,Cardiology,14,2,104,38,100,4,0.59,0.11,214,0,2.74,0.0,2.74,0.12,1.0,7,0
32,2024-12-20,55,37,Oncology,16,4,58,46,100,4,0.36,0.07,201,0,0.55,0.0,1.26,0.26,1.0,16,1
33,2024-01-01,99,18,Painkiller,20,2,137,47,100,8,0.41,0.05,111,0,2.55,0.0,2.91,0.88,1.0,8,1
34,2024-05-21,46,25,Antibiotic,20,2,82,44,98,5,0.71,0.07,345,0,0.87,0.1,1.86,0.37,1.0,15,1
35,2024-10-23,25,27,Antibiotic,13,2,206,61,100,35,0.58,0.17,367,0,1.31,0.0,3.38,0.21,1.0,18,1
36,2024-03-19,35,37,Antibiotic,8,2,202,54,100,6,0.3,0.08,193,0,0.97,0.1,3.74,0.43,1.2,27,1
37,2024-04-12,81,33,Diabetes,13,4,72,34,96,5,0.3,0.2,229,0,0.38,0.0,2.12,0.47,1.0,39,1
38,2024-10-11,87,17,Oncology,2,3,184,55,100,9,0.64,0.2,425,0,1.46,0.0,3.35,0.31,1.0,16,1
39,2024-03-30,64,10,Painkiller,11,4,89,79,100,8,0.21,-0.07,261,0,0.72,0.0,1.13,0.76,1.0,11,1
40,2024-04-06,28,24,Oncology,2,2,115,22,79,44,0.75,0.07,362,0,2.29,0.1,5.23,0.39,1.0,16,1
41,2024-01-26,85,26,Diabetes,6,2,170,46,100,2,0.67,0.08,386,0,1.36,0.0,3.7,0.83,1.0,19,1
42,2024-05-25,54,29,Oncology,5,4,57,27,77,16,0.26,0.11,296,0,0.42,0.2,2.11,0.35,1.0,35,1
43,2024-12-24,77,35,Diabetes,11,2,212,59,100,4,0.36,0.06,264,0,2.29,0.0,3.59,0.61,1.0,11,1
44,2024-09-11,39,29,Painkiller,10,4,163,35,94,2,0.0,0.17,172,0,1.12,0.0,4.66,0.47,1.0,29,0
45,2024-09-24,25,46,Oncology,13,2,20,10,32,12,0.61,-0.03,463,0,0.82,0.1,2.0,0.18,1.0,17,1
46,2024-07-03,52,29,Antibiotic,1,3,93,71,100,90,0.25,0.05,127,0,0.42,0.0,1.31,0.62,1.0,22,1
