category,text_clean
storage_issue,pharmacies in giza reported issues with antidepressants. they cited humidity and contamination.
storage_issue,a weekly report from delta region connected antidepressants instability to power cut and storage.
import_delay,"in giza, anticoagulants availability has dropped. reports mention queue and complications from import."
manufacturing_issue,"in coastal governorates, anticoagulants availability has dropped. reports mention breakdown and complications from batch. additional concerns include capacity."
manufacturing_issue,pharmacies in giza reported issues with asthma inhalers. they cited raw material and line.
seasonal_variation,a weekly report from upper egypt connected iv fluids instability to virus and seasonal. additional concerns include seasonal.
forecasting_error,pharmacies in coastal governorates reported issues with antidepressants. they cited assumption and scenario. additional concerns include miscalculated.
neutral_report,pharmacies in upper egypt reported stable availability of cancer medicines this week.
neutral_report,supply levels for insulin in coastal governorates remained normal.
labor_shortage,pharmacies in giza reported issues with antihistamines. they cited overtime and resignations.
storage_issue,a weekly report from coastal governorates connected antiviral tablets instability to temperature and storage. additional concerns include mold.
quality_control_issue,a weekly report from canal cities connected antiviral tablets instability to lab and complaint.
neutral_report,routine updates from coastal governorates showed no major issues for antiviral tablets.
regulation_issue,a weekly report from coastal governorates connected painkillers instability to regulation and license.
demand_spike,pharmacies in new urban communities reported issues with asthma inhalers. they cited unusual and peak. additional concerns include rush.
demand_spike,pharmacies in canal cities reported issues with insulin. they cited rush and panic buying. additional concerns include panic buying.
seasonal_variation,pharmacies in giza reported issues with iv fluids. they cited winter and season.
regulation_issue,a weekly report from upper egypt connected insulin instability to new rules and approval.
neutral_report,routine updates from new urban communities showed no major issues for cancer medicines.
currency_issue,pharmacies in alexandria reported issues with oral rehydration salts. they cited foreign and reserve.
distribution_center_issue,"in canal cities, antidepressants availability has dropped. reports mention unloading and complications from queue."
neutral_report,supply levels for blood pressure drugs in upper egypt remained normal.
contract_dispute,a weekly report from new urban communities connected asthma inhalers instability to penalty and terms. additional concerns include contract.
regulation_issue,pharmacies in cairo reported issues with children's syrup. they cited warning and new rules. additional concerns include banned.
manufacturing_issue,"in cairo, children's syrup availability has dropped. reports mention interruption and complications from defect. additional concerns include defect."
regulation_issue,"in upper egypt, anticoagulants availability has dropped. reports mention restriction and complications from compliance. additional concerns include new rules."
demand_spike,pharmacies in alexandria reported issues with iv fluids. they cited surge and unusual. additional concerns include demand.
neutral_report,routine updates from canal cities showed no major issues for antibiotics.
neutral_report,pharmacies in upper egypt reported stable availability of insulin this week.
contract_dispute,"in delta region, asthma inhalers availability has dropped. reports mention pricing and complications from dispute. additional concerns include delay."
labor_shortage,a weekly report from cairo connected antiviral tablets instability to turnover and strike.
neutral_report,pharmacies in coastal governorates reported stable availability of asthma inhalers this week.
transport_issue,"in canal cities, antihistamines availability has dropped. reports mention bridge and complications from road."
contract_dispute,"in upper egypt, painkillers availability has dropped. reports mention negotiation and complications from dispute."
manufacturing_issue,"in giza, antihistamines availability has dropped. reports mention raw material and complications from defect. additional concerns include maintenance."
regulation_issue,"in new urban communities, vitamins availability has dropped. reports mention safety and complications from banned. additional concerns include safety."
currency_issue,pharmacies in alexandria reported issues with asthma inhalers. they cited payment and hard currency. additional concerns include dollar.
supplier_problem,pharmacies in upper egypt reported issues with vitamins. they cited under-performing and disruption.
neutral_report,no significant disruptions were noted for vitamins in new urban communities.
supplier_problem,a weekly report from coastal governorates connected asthma inhalers instability to supplier and late.
neutral_report,pharmacies in new urban communities reported stable availability of cancer medicines this week.
demand_spike,a weekly report from new urban communities connected anticoagulants instability to shortage and panic buying. additional concerns include high.
storage_issue,a weekly report from canal cities connected antibiotics instability to storage and leak. additional concerns include storage.
quality_control_issue,pharmacies in coastal governorates reported issues with vitamins. they cited contamination and test.
neutral_report,supply levels for insulin in cairo remained normal.
currency_issue,a weekly report from new urban communities connected anticoagulants instability to price and currency. additional concerns include price.
manufacturing_issue,pharmacies in alexandria reported issues with insulin. they cited shutdown and factory. additional concerns include maintenance.
manufacturing_issue,"in cairo, oral rehydration salts availability has dropped. reports mention raw material and complications from defect. additional concerns include production."
supplier_problem,a weekly report from cairo connected blood pressure drugs instability to disruption and supplier. additional concerns include supplier.
neutral_report,pharmacies in giza reported stable availability of painkillers this week.
neutral_report,supply levels for painkillers in upper egypt remained normal.
currency_issue,pharmacies in canal cities reported issues with vitamins. they cited price and reserve.
neutral_report,no significant disruptions were noted for anticoagulants in giza.
forecasting_error,"in giza, blood pressure drugs availability has dropped. reports mention planning and complications from projection. additional concerns include projection."
seasonal_variation,"in cairo, antibiotics availability has dropped. reports mention winter and complications from virus. additional concerns include trend."
neutral_report,pharmacies in alexandria reported stable availability of children's syrup this week.
transport_issue,pharmacies in alexandria reported issues with antidepressants. they cited accident and detour.
neutral_report,supply levels for children's syrup in upper egypt remained normal.
currency_issue,a weekly report from alexandria connected antibiotics instability to currency and devaluation. additional concerns include payment.
distribution_center_issue,pharmacies in canal cities reported issues with vitamins. they cited capacity and distribution center.
forecasting_error,"in cairo, blood pressure drugs availability has dropped. reports mention planning and complications from forecast. additional concerns include trend."
transport_issue,pharmacies in new urban communities reported issues with iv fluids. they cited accident and blocked. additional concerns include route.
it_system_failure,pharmacies in delta region reported issues with vitamins. they cited crash and software. additional concerns include software.
storage_issue,pharmacies in canal cities reported issues with antidepressants. they cited storage and mold.
regulation_issue,a weekly report from new urban communities connected painkillers instability to safety and warning.
supplier_problem,a weekly report from new urban communities connected antidepressants instability to supplier and disruption. additional concerns include late.
neutral_report,supply levels for vitamins in giza remained normal.
neutral_report,supply levels for anticoagulants in delta region remained normal.
import_delay,"in coastal governorates, antiviral tablets availability has dropped. reports mention delay and complications from stuck. additional concerns include queue."
quality_control_issue,pharmacies in new urban communities reported issues with vitamins. they cited out of spec and contamination. additional concerns include failed.
regulation_issue,"in upper egypt, oral rehydration salts availability has dropped. reports mention new rules and complications from penalty. additional concerns include inspection."
currency_issue,"in delta region, antiviral tablets availability has dropped. reports mention devaluation and complications from exchange."
quality_control_issue,pharmacies in coastal governorates reported issues with blood pressure drugs. they cited defect and out of spec.
supplier_problem,a weekly report from alexandria connected blood pressure drugs instability to disruption and late. additional concerns include under-performing.
quality_control_issue,"in new urban communities, insulin availability has dropped. reports mention investigation and complications from defect."
neutral_report,reports from new urban communities indicated stable distribution of oral rehydration salts.
neutral_report,reports from alexandria indicated stable distribution of antiviral tablets.
manufacturing_issue,"in coastal governorates, vitamins availability has dropped. reports mention repair and complications from interruption. additional concerns include raw material."
import_delay,a weekly report from delta region connected insulin instability to delay and customs.
currency_issue,pharmacies in delta region reported issues with insulin. they cited bank and currency.
storage_issue,"in giza, asthma inhalers availability has dropped. reports mention power cut and complications from expired."
forecasting_error,a weekly report from coastal governorates connected anticoagulants instability to overestimated and estimate. additional concerns include overestimated.
import_delay,pharmacies in cairo reported issues with anticoagulants. they cited stuck and container.
currency_issue,a weekly report from giza connected antibiotics instability to price and hard currency.
