id,category,text,keyword_count,sentiment,risk_score
1,storage_issue,pharmacies in giza reported issues with antidepressants. they cited humidity and contamination. ,2,-0.5,4.5
2,storage_issue,a weekly report from delta region connected antidepressants instability to power cut and storage.,2,-0.5,4.5
3,import_delay,"In Giza, anticoagulants availability has dropped. Reports mention queue and complications from import.",4,-1,9.6
4,manufacturing_issue,"In coastal governorates, anticoagulants availability has dropped. Reports mention breakdown and complications from batch. Additional concerns include capacity.",3,-0.5,7.65
5,manufacturing_issue,Pharmacies in Giza reported issues with asthma inhalers. They cited raw material and line. ,2,-0.5,5.1
6,seasonal_variation,A weekly report from Upper Egypt connected IV fluids inst@bility to virus @nd se@son@l. Addition@l concerns include se@son@l.,2,-0.5,2.1
7,forecasting_error,Pharmacies in coastal governorates reported issues with antidepressants. They cited assumption and scenario. Additional concerns include miscalculated. ,3,-0.5,4.05
8,neutral_report,Pharmaci3s in Upp3r Egypt r3port3d stabl3 availability of canc3r m3dicin3s this w33k.??,0,0,0
9,neutral_report,Supply levels for insulin in co@st@l governor@tes rem@ined norm@l.,0,0,0
10,labor_shortage,Pharmacies in Giza reported issues with antihistamines. They cited overtime and resignations. ,2,-0.5,3.3
11,storage_issue,A weekly report from coastal governorates connected antiviral tablets instability to temperature and storage. Additional concerns include mold.,3,-0.5,6.75
12,quality_control_issue,A  w33kly  r3port  from  Canal  citi3s  conn3ct3d  antiviral  tabl3ts  instability  to  lab  and  complaint.,2,-0.5,5.4
13,neutral_report,ROUTINE UPDATES FROM COASTAL GOVERNORATES S ...HOWED NO MAJOR ISSUES FOR ANTIVIRAL TABLETS.,0,0,0
14,regulation_issue,A weekly report from coastal governorates connected painkillers instability to regulation and license.,2,-0.5,4.8
15,demand_spike,Ph@rm@cies in new urb@n communities reported issues with @sthm@ inh@lers. They cited unusu@l @nd pe@k. Addition@l concerns include rush.,1,0,1.3
16,demand_spike,Ph@rm@cies in C@n@l cities reported issues with insulin. They cited rush @nd p@nic buying. Addition@l concerns include p@nic buying. ,1,0,1.3
17,seasonal_variation,Ph@rm@cies in Giz@ reported issues with  ...IV fluids. They cited winter @nd se@son.,2,-0.5,2.1
18,regulation_issue,A weekly report from Upper Egypt connected insulin instability to new rules and approval.,2,-0.5,4.8
19,neutral_report,Routine  updates  from  new  urban  communities  showed  no  major  issues  for  cancer  medicines.,0,0,0
20,currency_issue,Pharmacies in Alexandria reported issues with oral rehydration salts. They cited foreign and reserve.,2,-0.5,4.5
21,distribution_center_issue,"IN CANAL CITIES, ANTIDEPRESSANTS AVAILABILITY HAS DROPPED. REPORTS MENTION UNLOADING AND COMPLICATIONS FROM QUEUE.",3,-0.5,5.4
22,neutral_report,Supply levels for blood pressure dr ...ugs in Upper Egypt remained normal.,0,0,0
23,contract_dispute,A weekly report from new urban communities connected asthma inhalers instability to penalty and terms. Additional concerns include contract.,3,-0.5,4.5
24,regulation_issue,PHARMACIES IN CAIRO REPORTED ISSUES WITH CHILDREN'S SYRUP. THEY CITED WARNING AND NEW RULES. ADDITIONAL CONCERNS INCLUDE BANNED. ,3,-0.5,7.2
25,manufacturing_issue,"In Cairo, childr3n's syrup availability has dropp3d. R3ports m3ntion int3rruption and complications from d3f3ct. Additional conc3rns includ3 d3f3ct.",0,0,0
26,regulation_issue," In Upper Egypt, anticoagulants availability has dropped. Reports mention restriction and complications from compliance. Additional concerns include new rules. ",3,-0.5,7.2
